Startup name,Allowance/Assistance Type,Industry,Woman Led(SO Recognised),Retured Assessed,Employee Cost(21),Employee Cost(22),Expences(21),Expences(22),Income Tax(21),Income Tax(22),Rank,Revenue(21),Revenue(22),SGST(21),SGST(22)
BUNTY LIFESTYLE WORLD PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,,,,,0,0,361,,0,0,0
SCYLENE TECHNOLOGY AND LIFE SCIENCE PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,,8000,,10000,0,,450,,0,0,0
K N K SQUARE PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,0,27000,5000,1649903,,0,349,0,1649903,0,0
INNOVENTSOFT TECHNOLOGIES PRIVATE LIMITED,,MARKETING,,2022,,,,,0,0,450,,0,0,0
OMITRI TECHNOLOGY PRIVATE LIMITED,,IT SERVICES,,2022,42350,61565,141041,538620,18614,9907,116,209982,579263,0,0
WILKEF CLASSES PRIVATE LIMITED,,EDUCATION,,2022,270000,511786,283331,550482,,,436,,40016,0,0
UBC THERAPUTICS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,,47000,,472210.96,0,,430,,286959.7,0,0
HIREKARMA PRIVATE LIMITED,,HUMAN RESOURCES,,2022,41000,417000,123229,777305,,,252,120000,526000,0,0
BIZOKAY INDIA PRIVATE LIMITED,,IT SERVICES,,2022,,,177778,184128,,,425,90422,92979,0,0
PRAKRUTIK GEOSPATIAL AND ENVIRONMENTAL MANAGEMENT SERVICES PRIVATE LIMITED,,OTHERS,,2022,605000,,1150961.99,221297.51,7540,,434,1165856,74839,0,0
STABDHA UTILITY INSIGHTS PRIVATE LIMITED,,PROFESSIONAL AND COMMERCIAL SERVICES,,2022,1295789,413940,3815731.06,2642287.76,1559313.14,,295,9149150,0,536186.25,0
MYTHICKA TECHNOLOGY PRIVATE LIMITED,,TECHNOLOGY HARDWARE,,2022,85000,310500,788492,719414,,,433,676008,109587,0,0
OLANGAR SOLUTIONS PRIVATE LIMITED,,EDUCATION,,2022,135460,671494,280698.53,886628.96,,,438,,7944,0,0
LFYD SERVICES PVT. LTD,,MARKETING,,2022,384131,1985707,669315,3594225,,,109,615197,2336687,0,25251.525
ADVANCE DESIGN AND ANALYSIS SOLUTIONS PRIVATE LIMITED,,CONSTRUCTION,,2022,,284000,98490,486730,,,124,48270,111020,0,0
HOMEACTS,,HEALTHCARE AND LIFESCIENCES,,2022,,,117362,12351,,,295,5080,0,0,0
FIVE T CORPORATE PRIVATE LIMITED,,IT SERVICES,,2022,30000,66400,62808,2522928,,4383,108,13000,2539783,0,40483.725
ADUT SHIKSHA VIKAS PRIVATE LIMITED,,EDUCATION,,2022,,,93678.2,48980.83,,,437,0,13898.32,0,0
EKAM DIGITAL TECHNOLOGIES PVT LTD,,EDUCATION,,2022,,,15300,7100,,,295,101,0,0,0
JUST INTO TECHNOLOGY UNIFIED SOLUTION PRIVATE LIMITED,,IT SERVICES,,2022,,,100,,,0,295,,0,0,0
ELEFIX SERVICES PRIVATE LIMITED,,OTHERS,,2022,0,,120935,1008494,,,427,0,811156,0,0
2S SOLAR PRIVATE LIMITED,,RENEWABLE ENERGY,,2022,219940,1084594,2158625,3391725,,11362,106,2066425,3464553,4981.875,109841.475
MARQUIS MOBILITY SOLUTIONS PRIVATE LIMITED,,TRAVEL AND TOURISM,,2022,,2175.13,165839,195225.13,,,254,76654,174343,0,0
SAFEND SECURE SOLUTIONS PRIVATE LIMITED,,SAFETY,,2022,,823348,16963,1245082,,,115,1,1183074,0,0
GIRISHYAM PRIVATE LIMITED,,FOOD AND BEVERAGES,,2022,406100,1737665,820588,5491819,0,0,150,856263,5625128,0,271884.6
ZENOFARM EAST PRIVATE LIMITED,,AGRICULTURE,,2022,,285500,21290,1071324.63,,,295,,0,0,0
BIOEARTH ENERGIE PRIVATE LIMITED,,GREEN TECHNOLOGY,,2022,0,30000,25500,191186,,,276,0,0,0,0
SMZVIG AUTOMATION PVT LTD,,AUTOMOTIVE,,2022,358000,868000,4403173,5960056,5207,8880,90,4403173,5965573,180237.975,297417.975
RIXO SYSTEM IT SOLUTIONS PRIVATE LIMITED,,IT SERVICES,,2022,903991,2382498,1796433,2959241,10737,22727,72,1840932,3124910,0,84368.25
ADELLE INTERNATIONAL PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,,2022,0,38360,45264,132333,,,233,0,78630,0,0
PANDA MACHINES PVT LTD OPC,,OTHERS,,2022,524293,455925,2864216,3708874,1083,2047,60,2868383,3716746,65128.725,128755.95
ILECTUAL OPC PRIVATE LTD,,EDUCATION,,2022,74228,73200,718282,698060,0,810,330,732260,712800,0,0
ADGLOB INFOSYSTEM PRIVATE LIMITED,,IT SERVICES,,2022,331258,45670,380615,216646,5275,3449,222,400910,230000,0,0
CIRRUSCLOUD SYSTEMS PRIVATE LIMITED,,IT SERVICES,,2022,891837,1834116,1094778,2101084,,0,29,1093384,2234215,0,17566.125
KBB FOOD PRODUCT PVT LTD,,FOOD AND BEVERAGES,Yes,2022,1094032,1516789,25286523,33554342,146798,133299,61,25775700,34067025,1783177.5,2405026.875
SHEPHALEE FASHIONS OPC PRIVATE LIMITED,,TEXTILES AND APPAREL,Yes,2022,,300000,,6930997,0,,379,,6843487,0,363261.525
THINKPLAY BOX PRIVATE LIMITED,,AI,Yes,2022,,,,232915.26,0,,377,,65475.45,0,0
JAIVIK MANURE PRIVATE LIMITED,,AGRICULTURE,Yes,2022,,,,6000,0,,361,,0,0,0
PUREPETAL ALLIANCE PRIVATE LIMITED,,AGRICULTURE,Yes,2022,0,200000,0,3277456,0,0,384,0,3285581,0,96418.575
INVENICS INNOVATIONS PRIVATE LIMITED,,AGRICULTURE,Yes,2022,,,,20414,0,,361,,0,0,0
PRIMP TECHNOLOGIES PRIVATE LTD,,AR/VR - AUGMENTED + VIRTUAL REALITY,Yes,2022,0,0,0,0,0,0,374,0,0,0,0
DENWITO PRIVATE LIMITED,,EVENTS,Yes,2022,,,,9881,0,,361,,0,0,0
BUSINESSASTRA PRIVATE LIMITED,,FINANCE TECHNOLOGY,Yes,2022,0,1625850,0,1689324,0,,350,0,1645311,0,0
CHEF JUNCTION PRIVATE LIMITED,,FOOD AND BEVERAGES,Yes,2022,,,,25794,0,,357,,21769,0,0
BLISSPOINT ECARE PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,,60295,0,,360,,2767,0,0
WITHSTAND FITNESS,,HEALTHCARE AND LIFESCIENCES,Yes,2022,0,687750.23,0,785347.2,0,,444,0,597386.95,0,0
MOHS10 TECHNOLOGIES PRIVATE LIMITED,,IT SERVICES,Yes,2022,,461179,,653532,0,,361,,0,0,0
METAHUMAN TECHNOLOGIES PVT.LTD,,TECHNOLOGY HARDWARE,Yes,2022,,,,53737.5,0,,358,,10000,0,0
VINSSI GIFTS AND NOVELTIES PRIVATE LIMITED,,OTHERS,Yes,2022,,117150,,424608,0,4796,352,,443050,0,0
K-FIRST BIOTECH PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,,50695,0,,386,,0,0,0
RNA BIOTECH PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,80000,,501818,0,,449,,40000,0,0
PENTACLE FOOD INDUSTRY PVT. LTD.,,FOOD AND BEVERAGES,Yes,2022,,168000,,544897,0,,446,,179909,0,0
GENOMIKI SOLUTIONS PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,139694,,186427,0,0,383,,190713,0,0
SMPS ELECTRIC CONTROL PRIVATE LIMITED,,RENEWABLE ENERGY,Yes,2022,0,460000,0,612622,0,,450,0,0,0,0
KRUSHEKA AGRICULTURE RESEARCH CENTRE,,AGRICULTURE,Yes,2022,223000,385500,656107,1082085,1865,,424,668350,673126,0,0
VRUDDHI MART E-COMMERCE PRIVATE LIMITED,,OTHERS,Yes,2022,,,,24464,0,,295,,0,0,0
AYURINNO LEGACY OPC PRIVATE LIMITED,,BIOTECHNOLOGY,Yes,2022,,54000,40212,142640,,,316,,0,0,0
DRRVK FASHION(OPC) PVT LTD,,FASHION,Yes,2022,0,0,457900,1521900,,33200,426,0,1637900,0,0
ASIRBADH AGRO FOOD PRODUCTS PRIVATE LIMITED,,AGRICULTURE,Yes,2022,30500,0,853150,96782.81,0,0,286,96782.81,98200,0,0
ASIRBADH AGRO FOOD SERVICES PRIVATE LIMITED,,AGRICULTURE,Yes,2022,0,11500,1933787.29,153826.2,,,291,1929600,152200,0,0
HANDCRAFTED INDIA EXPORT PRIVATE LIMITED,,ART AND PHOTOGRAPHY,Yes,2022,-12954,25698,12954,149747,,,292,,139669,0,0
HEALTHY HAPPY LIVING PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,9911,7189,,,295,,0,0,0
F3 BIOTECHNOLOGY,,BIOTECHNOLOGY,Yes,2022,,637000,106376,939252,,,429,,633135,0,0
PRITIRAJ FOOD PRODUCTS PRIVATE LIMITED,,AGRICULTURE,Yes,2022,,,31828,142715,,,315,,0,0,0
ECOBETON READYMIX PRIVATE LIMITED,,CONSTRUCTION,Yes,2022,,,,281989,0,,439,,0,0,0
QUOTUS SOFTWARE SOLUTIONS PRIVATE LIMITED,,IT SERVICES,Yes,2022,550341,430200,995463,731058,,,295,461,0,0,0
BOBANZA FOOD AND BEVERAGE PRIVATE LIMITED,,FOOD AND BEVERAGES,Yes,2022,144000,84000,1119166,464117,,,407,952626,358563,0,0
DARSHINFI MEDICARE OPC PVT LTD,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,43647,35653,,,94,4,214,0,0
MINDMINE ECOMMERCE PRIVATE LIMITED,,FASHION,Yes,2022,397121,173382,1417161,2465831,13360,14196,75,1462209,2520431,0,39032.325
INTELISPARKZ SYSTEMS PRIVATE LIMITED,,HOUSE-HOLD SERVICES,Yes,2022,558000,577574,1872228,1900630,0,13600,257,1896565,1931104,0,0
5STAR APNISEVA PRIVATE LIMITED,,HOUSE-HOLD SERVICES,Yes,2022,48000,60000,147584,464014,3950,9683,79,162780,501260,0,0
HEXAPHOR TECHNOLOGIES,,IT SERVICES,Yes,2022,0,139586,0,375408.44,0,0,284,0,377358.83,0,0
WATER N SPICES FOODSZ PVT LTD,,FOOD AND BEVERAGES,Yes,2022,27500,676666,487201.22,3482240.99,,,206,216426.36,2392457.18,0,29434.2885
CHINUMINU BUILDERS PRIVATE LIMITED,,CONSTRUCTION,Yes,2022,62000,62000,355580,390620,170,9720,165,356230,428000,0,0
JIVADA VENTURES PRIVATE LIMITED,,OTHERS,Yes,2022,970000,7200,3447042,1247595,29838,,418,3560000,14229,117000,0
DAYHAAT SERVICES PRIVATE LIMITED,,HEALTHCARE AND LIFESCIENCES,Yes,2022,,,100535,99500,,,235,,0,0,0
HESTIA EDUCATION AND RESEARCH CENTRE PRIVATE LIMITED,,FOOD AND BEVERAGES,Yes,2022,97173,101296,287397,236861,,,324,160000,156780,0,0
IMMATE ABACUS ACADEMY PRIVATE LIMITED,,EDUCATION,Yes,2022,2670,3620,273973,348936,684,790,95,276600,351978,0,0
